timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652423.750837,-53,3.00,19.00,19.03,19.03,19.10,19.24,19.42,19.65,19.92,20.25,21.54,21.54,21.93,22.85,24.17,25.08,25.63,25.63,26.57,26.25,26.93,26.68,26.31,25.08,25.00,25.02,6.00,17.09,17.46,16.55,17.00,17.00,17.49,17.49,18.03,18.03,18.03,18.03,18.03,18.03,17.49,17.49,17.00,17.00,16.55,17.09,16.76,17.46,18.44,18.44,18.25,19.10,19.10
1779652423.7836516,-52,3.00,20.52,21.21,20.52,19.85,20.62,20.81,20.81,21.10,21.47,22.36,23.26,24.17,24.17,25.08,25.50,26.40,26.83,27.29,27.78,27.46,27.20,26.40,26.25,27.59,27.59,7.07,17.46,17.46,17.09,17.72,18.68,19.65,20.62,20.40,20.40,19.42,19.65,19.65,19.65,19.65,19.65,18.68,18.97,18.38,18.79,18.79,19.24,18.36,18.87,19.42,20.00,20.62
1779652423.81363,-53,3.00,22.02,21.26,21.93,21.93,21.93,22.02,21.40,22.20,22.47,23.32,24.19,25.06,25.94,26.83,27.29,28.18,28.65,29.15,28.84,29.41,29.83,29.00,29.00,29.07,29.21,7.21,19.31,19.92,19.92,20.62,20.40,20.40,21.38,21.21,21.21,21.21,21.21,21.21,21.21,20.22,20.40,20.40,19.65,19.92,19.92,20.25,19.70,20.12,20.59,21.10,21.63,20.81
1779652423.8435888,-53,3.00,21.63,21.95,21.95,22.36,21.93,22.47,22.14,22.80,23.54,24.52,25.32,25.32,26.17,27.17,28.16,28.28,29.43,29.61,29.83,30.08,29.73,29.15,29.55,29.53,29.15,7.62,18.87,18.87,19.24,19.24,19.70,19.70,20.62,20.25,20.25,21.19,21.19,20.25,20.25,19.31,19.70,19.24,19.72,18.87,19.42,20.00,20.62,20.52,20.52,21.21,21.26,20.62
1779652423.8747375,-53,3.00,22.36,22.36,21.93,22.47,22.14,21.84,22.56,23.35,23.35,24.19,25.08,26.08,26.02,27.02,28.07,29.07,29.15,30.27,30.41,30.59,29.83,29.41,29.73,29.55,29.97,8.06,20.00,20.00,20.81,20.25,21.10,21.47,21.47,21.02,21.02,21.02,21.02,21.02,21.47,20.59,19.72,20.25,20.81,20.00,20.62,21.26,20.52,20.52,21.26,22.02,21.40,22.20
1779652423.9040484,-52,3.00,23.35,22.63,23.35,22.67,22.80,22.20,23.02,23.32,24.60,25.08,25.63,25.63,26.93,28.79,31.38,31.78,30.41,29.15,28.30,29.68,33.02,35.00,34.71,32.53,30.41,7.81,19.31,19.31,20.88,21.21,19.00,20.00,21.02,21.02,21.02,22.02,22.02,21.02,21.10,20.10,20.22,20.40,20.62,20.62,19.92,20.25,20.62,21.02,21.47,21.95,22.47,23.02
1779652423.9345756,-53,3.00,22.63,22.63,22.63,21.93,22.02,22.20,23.02,23.85,24.19,24.60,24.60,25.50,26.40,27.31,28.64,29.07,29.07,29.53,30.02,30.53,30.23,30.00,30.48,29.70,29.73,7.81,20.25,19.92,19.92,19.65,20.62,21.38,21.38,21.21,21.21,21.21,21.21,21.21,21.21,20.40,20.40,20.62,20.88,19.92,19.31,19.70,20.12,20.59,21.10,21.63,21.63,21.40
1779652423.9626954,-53,3.00,20.62,19.92,19.92,20.25,19.70,20.12,20.12,20.59,21.63,22.20,22.80,22.80,24.21,25.00,25.81,26.63,26.63,26.93,27.29,27.73,27.31,26.93,26.57,26.93,26.68,7.28,18.11,18.11,18.11,18.11,18.25,19.42,19.65,19.65,19.65,19.65,19.65,19.65,18.44,18.44,18.44,18.25,18.25,18.11,18.03,18.03,18.00,19.03,19.03,19.10,20.22,20.40
1779652423.9932163,-53,3.00,19.92,20.62,20.62,20.40,20.22,20.10,20.10,21.02,21.00,22.02,22.02,23.09,23.19,24.19,25.18,26.08,27.02,27.00,27.02,27.07,27.17,26.31,26.48,26.93,26.57,7.62,17.80,18.44,18.44,18.38,18.38,19.10,19.85,19.21,19.21,19.21,19.21,19.21,18.44,18.44,19.10,18.38,18.38,18.44,17.80,18.60,18.03,18.87,19.72,19.24,19.70,19.31
1779652424.024528,-53,3.00,19.42,19.65,19.92,19.92,19.31,19.70,20.12,20.59,21.10,21.63,22.20,22.20,23.60,25.00,25.81,25.81,26.63,26.93,26.42,26.83,26.40,26.93,26.57,27.20,26.93,7.28,18.11,18.25,18.44,18.44,18.68,18.68,18.97,18.97,19.31,19.31,19.31,19.31,18.03,18.03,17.72,17.72,18.44,18.25,18.11,18.11,18.03,18.00,19.00,19.03,19.10,19.24
