timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779654610.5568044,-57,3.00,26.68,26.68,25.96,25.96,25.00,24.35,24.35,24.70,24.17,24.60,23.71,23.71,23.71,23.71,24.60,24.17,22.85,22.47,21.84,20.62,19.42,19.24,18.11,16.00,16.03,3.00,11.70,12.37,13.34,15.30,16.12,17.03,18.00,19.03,20.02,21.10,22.09,22.20,22.20,22.20,22.20,22.20,22.09,22.02,23.00,23.00,24.02,24.08,25.18,26.17,26.31,26.48
1779654610.5647192,-57,3.00,26.63,26.93,26.93,25.55,25.55,25.06,24.60,24.17,24.70,24.70,24.35,24.35,24.70,24.70,24.70,24.17,23.71,22.83,22.47,20.81,20.00,18.44,17.69,16.97,17.03,4.24,12.08,13.42,13.89,15.26,16.64,17.80,18.44,19.80,20.52,20.52,21.93,22.67,22.67,22.67,22.67,22.67,23.35,23.35,24.04,24.04,24.08,24.84,25.61,25.81,26.63,26.63
1779654610.5881133,-62,3.00,25.94,25.06,24.70,24.70,23.85,23.60,22.80,22.67,21.93,22.63,21.93,21.93,21.93,21.93,21.26,21.21,21.21,21.26,21.40,21.10,18.36,17.00,17.89,17.72,18.03,4.00,14.32,14.87,15.52,16.49,18.25,19.24,20.10,21.02,22.00,23.02,23.02,24.02,24.02,24.02,23.00,23.00,23.02,23.09,24.19,24.33,24.52,25.00,25.00,25.30,25.63,25.08
1779654610.6131968,-65,3.00,23.02,23.02,22.47,21.95,20.59,20.12,19.70,19.31,19.31,19.31,18.38,18.38,17.46,18.03,18.97,19.31,18.38,17.46,15.65,15.81,17.03,15.62,14.21,15.26,17.46,4.47,17.69,17.80,18.60,19.72,20.59,22.36,22.85,22.47,23.41,24.04,24.04,24.74,24.74,24.04,24.35,22.85,22.85,22.83,23.32,22.47,22.20,23.43,24.08,24.08,24.04,23.35
1779654610.6431115,-62,3.00,25.96,25.96,24.74,23.54,22.36,22.36,22.20,21.10,21.02,20.02,20.02,18.03,18.03,17.03,17.03,15.13,14.32,14.56,12.65,12.08,10.82,9.22,8.60,7.62,7.28,1.41,20.62,21.19,21.54,23.26,23.71,24.70,26.08,26.40,27.02,27.66,27.66,26.91,26.91,26.25,25.61,25.00,25.00,25.24,26.08,25.55,25.94,25.50,26.40,26.00,25.63,26.25
1779654610.6748557,-60,3.00,27.29,26.83,26.83,25.50,24.17,24.17,23.77,23.41,22.80,22.80,21.59,21.59,20.62,20.88,20.88,19.92,19.31,18.79,17.49,16.40,15.62,14.14,13.45,12.21,11.18,3.16,16.16,16.55,17.49,18.87,20.00,21.26,22.63,24.08,25.50,25.50,26.25,25.61,25.61,24.84,25.61,25.61,25.50,25.46,25.46,25.50,26.25,26.40,27.20,27.46,27.78,27.29
1779654610.702131,-61,3.00,24.76,24.76,24.08,24.08,22.80,22.80,22.20,21.63,21.10,21.10,20.59,19.72,19.72,20.25,19.42,18.60,17.80,17.69,16.28,15.00,14.42,13.42,12.08,11.40,11.05,2.00,12.81,13.45,14.14,15.62,16.40,18.03,19.72,20.59,21.47,22.36,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.36,23.32,23.32,23.02,23.60,24.21,24.84,25.50,24.76
1779654610.7321615,-62,3.00,26.31,26.17,26.17,25.18,24.08,23.02,23.00,23.00,23.02,23.02,22.02,21.02,21.02,21.02,21.00,20.02,20.10,19.24,17.46,17.09,15.65,14.42,14.21,13.45,12.81,3.16,10.05,11.18,12.17,13.34,15.81,17.09,18.38,19.70,21.47,21.95,21.95,23.32,23.85,23.32,23.32,23.32,24.19,24.60,24.17,24.70,24.70,25.30,25.96,26.93,26.68,26.48
1779654610.763041,-64,3.00,28.07,28.07,28.07,28.16,26.31,26.48,26.68,25.71,25.00,25.00,25.00,25.00,25.00,25.00,24.74,23.54,23.35,22.09,21.02,21.02,19.24,18.68,18.03,17.89,16.64,5.00,11.05,12.37,11.70,13.15,15.03,15.30,16.76,18.97,20.25,20.62,21.93,22.85,24.17,24.17,24.17,23.77,24.35,24.35,25.00,25.71,25.50,26.31,27.17,28.16,28.02,28.00
1779654610.7938848,-63,3.00,26.57,27.51,27.51,26.25,26.25,25.96,25.71,25.50,25.32,26.31,26.31,25.32,25.32,25.32,25.50,24.74,24.04,23.41,22.85,21.47,21.10,20.00,18.44,17.69,17.20,4.24,3.61,4.47,5.83,7.21,9.43,10.82,12.81,14.21,15.62,16.28,17.69,18.38,19.80,19.80,20.52,20.52,21.26,22.02,22.20,23.02,23.02,24.70,25.55,25.94,25.94,26.40
1779654610.8243,-63,3.00,27.31,27.31,26.83,25.94,25.94,26.42,26.08,25.24,25.00,25.00,25.00,25.00,24.41,24.41,24.41,23.85,24.19,22.83,21.93,21.19,20.62,19.42,18.11,17.00,17.03,4.12,8.25,7.28,6.40,6.32,12.65,17.46,17.03,16.12,15.52,16.12,18.00,19.00,20.00,20.00,20.00,20.00,20.02,21.21,22.36,22.56,22.56,23.54,25.00,25.30,26.57,26.57
1779654610.855744,-61,3.00,28.65,28.18,27.29,27.29,25.94,25.50,25.08,24.70,24.70,24.70,24.70,23.77,23.77,23.41,22.47,21.93,21.47,20.59,19.42,18.44,16.97,15.62,15.00,14.42,13.42,3.16,8.54,9.85,11.18,12.53,13.04,15.00,16.40,18.44,19.10,20.52,20.52,21.93,22.67,22.67,22.67,22.67,22.63,22.63,23.35,24.84,25.61,25.00,25.81,28.02,27.46,26.93
1779654610.8828912,-60,3.00,28.84,27.46,26.63,25.81,25.00,25.00,24.84,24.08,23.35,22.63,22.63,21.93,21.26,21.26,20.52,19.85,19.21,18.60,16.12,15.23,13.93,12.37,11.18,11.05,10.00,3.16,14.21,14.42,16.12,17.00,18.79,19.31,21.19,21.84,23.77,24.52,24.52,25.32,25.32,24.33,24.33,24.52,24.74,25.00,25.30,25.63,26.93,27.31,27.31,27.73,28.18,27.29
