timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652511.4737155,-57,3.00,1.00,2.24,4.24,5.83,7.21,8.94,10.30,12.08,13.93,15.81,17.46,19.42,21.21,23.19,26.17,28.28,30.41,30.41,31.58,32.76,32.98,32.98,33.53,33.84,35.11,8.54,29.15,28.79,28.79,28.79,28.46,28.16,27.89,26.93,26.93,26.25,24.04,23.41,21.93,21.02,19.24,18.36,16.64,15.00,14.21,13.45,12.04,10.63,10.00,8.60,7.21,5.83
1779652511.508501,-57,3.00,9.43,10.82,12.81,13.45,15.56,16.28,17.80,19.42,21.10,22.83,24.60,26.40,28.23,30.08,31.95,33.24,34.54,35.85,37.16,37.16,36.67,37.12,37.59,38.08,38.59,10.00,23.54,22.56,22.56,21.38,21.38,21.21,21.21,20.10,19.24,18.25,16.28,15.30,13.60,12.65,10.77,10.30,9.43,7.81,7.07,5.00,4.47,3.16,3.16,2.83,3.00,4.12
1779652511.5342643,-57,3.00,12.65,14.56,15.30,16.28,18.25,19.10,20.02,21.00,23.02,24.08,26.17,27.29,29.61,30.81,32.76,33.73,34.71,35.69,36.50,36.35,36.22,36.12,37.05,37.01,37.00,10.00,19.21,18.44,17.69,17.69,16.97,16.28,15.56,15.56,14.14,12.73,11.31,10.63,9.22,7.81,6.71,5.39,4.12,3.00,2.24,1.41,2.00,2.24,4.24,5.00,7.21,8.06
1779652511.5907273,-56,3.00,13.60,14.56,16.49,17.46,18.25,19.24,21.10,22.02,23.00,25.02,26.08,27.17,28.28,30.41,31.40,33.38,34.37,34.23,35.23,35.13,35.06,35.01,35.01,35.01,35.06,9.00,17.20,16.64,16.12,15.26,14.76,14.76,14.32,13.42,12.08,11.18,9.85,8.94,7.62,5.83,4.47,3.61,3.16,2.00,1.00,1.00,2.24,3.61,5.39,6.71,7.62,9.49
1779652511.5949247,-56,3.00,13.60,15.81,17.09,18.38,19.70,20.12,21.95,23.85,24.41,26.40,27.66,29.07,30.41,32.53,33.94,36.07,36.77,37.48,37.48,38.21,37.54,37.64,37.80,38.60,38.83,10.00,20.59,19.72,19.42,18.60,18.60,18.60,17.20,16.40,15.00,14.21,12.81,11.40,10.00,8.60,7.21,5.83,5.00,2.83,2.24,1.00,1.41,2.24,4.12,6.32,7.62,8.54
1779652511.6273432,-57,3.00,12.08,13.42,14.32,16.16,17.09,18.03,19.65,20.62,21.38,23.19,24.19,26.08,27.02,29.00,31.00,32.00,33.00,34.00,34.00,34.01,34.06,34.06,35.13,35.23,35.36,9.22,19.03,19.03,19.00,18.00,18.00,18.03,17.03,16.03,15.03,14.04,13.04,12.00,10.00,9.00,8.00,6.00,5.00,4.00,3.00,2.24,1.41,2.00,3.16,4.47,5.39,6.71
1779652511.6575084,-58,65.07,7.21,7.81,9.22,10.63,12.04,12.81,14.42,15.26,16.64,19.42,20.25,21.10,21.95,23.71,25.50,27.31,27.31,28.64,31.76,31.38,29.15,29.41,30.61,27.80,27.80,6.40,26.40,26.42,26.42,23.02,23.02,23.85,22.47,21.10,18.87,17.49,16.64,15.81,15.26,13.89,12.53,11.18,10.77,9.49,8.54,7.62,6.71,5.39,4.47,3.61,4.12,4.12
1779652511.6881495,-58,3.00,10.20,9.00,9.06,9.22,8.54,8.54,8.94,10.30,10.82,11.66,12.21,13.60,15.00,15.81,17.20,18.44,19.85,19.85,20.52,20.52,21.21,21.21,21.93,21.93,22.02,5.66,29.02,28.02,29.02,29.07,29.07,29.07,29.07,28.07,27.07,27.07,26.02,25.00,24.00,23.02,21.10,20.22,19.42,18.44,17.72,16.76,15.81,16.16,14.87,13.93,13.93,12.65
1779652511.7148695,-57,3.00,13.45,12.04,10.63,9.22,8.60,7.21,6.71,6.32,6.08,6.08,6.00,6.08,6.32,6.71,8.06,8.60,9.22,9.90,10.63,11.40,11.66,11.66,12.53,12.53,13.42,3.16,28.18,27.31,27.31,27.31,27.86,27.86,28.79,28.46,28.46,27.51,27.51,26.57,26.00,24.17,23.26,22.36,21.47,21.10,19.42,20.00,19.21,18.44,18.44,17.69,16.97,15.56
1779652511.7449796,-56,3.00,14.00,13.00,11.00,10.00,8.00,7.00,5.00,4.12,3.16,2.24,2.00,3.16,4.47,5.83,7.21,7.81,9.22,11.31,12.04,12.81,12.81,13.60,14.42,15.26,16.12,4.12,33.24,33.62,34.01,33.11,34.44,34.89,34.48,34.48,34.48,33.62,32.76,32.25,30.41,29.07,27.73,26.93,25.63,25.00,23.77,23.54,23.35,22.20,22.09,21.02,20.02,19.00
